GO:id	description	Ontology	GeneRatio	BackgroundRatio	Pvalue	Adjusted_Pvalue	Qvalue	Hits	GeneIds
GO:0022407	regulation of cell-cell adhesion	BP	53/617	389/16655	1.64932971403035e-16	3.94739578224596e-14	2.65050178605578e-14	53	CCL2/VCAM1/CD83/CX3CL1/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/PTAFR/CYLD/LGALS9/NOD2/CD47/EFNB1/VNN1/TRAF2/PRKCD/PDCD1LG2/MAP3K8/HLA-A/FSTL3/CD74/CAV1/PDE5A/NR4A3/BMP2/PTPN2/IDO1/RGCC/WNT5A/NCK1/SMAD7/LYN/HLX/CXCL12/PIEZO1/HAS2/EFNA5/BTN2A2/IL4R/XBP1/HES1/ZNF703/SHH/IL1B/EFNB2
GO:0002697	regulation of immune effector process	BP	55/617	418/16655	2.04879391347326e-16	4.64537062065411e-14	3.11916103835154e-14	55	ICAM1/CCL2/TNFAIP3/F2RL1/BIRC3/B2M/HLA-B/HLA-E/RIPK2/TAP1/DDX58/STAT5A/ACKR3/TNFSF18/ZC3H12A/JAK3/IL15/IL7R/PTAFR/LGALS9/TLR3/NOD2/GPRC5B/TNFRSF4/TRAF2/LMCD1/APLF/HLA-A/TRAF3/CD74/DPF3/NR4A3/BIRC2/RSAD2/DHX58/CREB3/WNT5A/TRIM6/LYN/TLR2/HLX/DDX60/APOBEC3G/PML/STAT6/MTSS1/MB21D1/ABR/CFB/ADORA2B/IL4R/XBP1/CHST3/CD40/IL1B
GO:0002224	toll-like receptor signaling pathway	BP	33/617	156/16655	2.49944919120504e-16	5.38381355785567e-14	3.61499283022709e-14	33	TNFAIP3/NFKB2/NFKBIA/F2RL1/BIRC3/TNIP1/RIPK2/TNIP3/CTSS/IRAK2/IRF1/TANK/NFKB1/MAP2K6/CTSK/TLR3/NOD2/NFKBIB/MAP2K3/TICAM1/MAP3K8/IRF7/TRAF3/CAV1/BIRC2/RSAD2/COLEC12/PELI2/LYN/TLR2/LGR4/TNIP2/DUSP4
GO:0034340	response to type I interferon	BP	25/617	86/16655	3.78203670183368e-16	7.42205459030863e-14	4.98358158973956e-14	25	HLA-B/HLA-E/HLA-F/IRF1/IRF2/IFIT3/XAF1/IFIT2/PSMB8/HLA-A/OASL/IRF7/C19orf66/IFI35/PTPN2/RSAD2/MX1/WNT5A/OAS3/TRIM6/IFI6/HLA-C/GBP2/IFNAR1/ISG15
GO:0032103	positive regulation of response to external stimulus	BP	45/617	293/16655	3.79027857443802e-16	7.42205459030863e-14	4.98358158973956e-14	45	CCL2/CXCL8/SQSTM1/F2RL1/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CXCL10/TNIP1/CXCL2/STAT5A/CTSS/TNFSF18/IL15/CXCL3/LGALS9/TLR3/THBD/NOD2/CD47/GPRC5B/SMAD3/STX3/F3/NRP1/GBP5/CCL7/CD74/DHX58/IDO1/CREB3/WNT5A/VEGFC/DAPK2/TLR2/DDX60/PDGFB/CXCL12/ADORA2B/RAB12/S1PR1/IL1B
GO:0071356	cellular response to tumor necrosis factor	BP	42/617	259/16655	5.2271533986552e-16	9.79068558322026e-14	6.57401260389222e-14	42	ICAM1/CCL2/TNFAIP3/VCAM1/CXCL8/NFKB2/F2RL1/TRAF1/RELB/BIRC3/CX3CL1/LTB/TNFRSF9/CCL20/TNFSF18/ZC3H12A/PSMB9/NFKB1/CYLD/TNFSF15/PSMB10/TNFRSF4/TRAF2/PSMB8/PSME2/NKX3-1/CD70/SPHK1/TRAF3/CCL7/POSTN/BIRC2/PTPN2/TNFRSF11B/PSME1/KLF2/PSMA3/IL18BP/HAS2/RELT/CD40/CD58
GO:0050920	regulation of chemotaxis	BP	35/617	182/16655	7.04213623350059e-16	1.26406345391336e-13	8.48762735511387e-14	35	CCL2/CXCL8/F2RL1/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CXCL10/CXCL2/SEMA3C/TNFSF18/CXCL3/LGALS9/NOD2/SMAD3/STX3/ST6GAL1/F3/NRP1/CCL7/CD74/PTPN2/CREB3/SEMA4B/WNT5A/VEGFC/DAPK2/LYN/PDGFB/CXCL12/S1PR1/IL1B/EFNB2
GO:0060337	type I interferon signaling pathway	BP	24/617	82/16655	1.24756936998864e-15	2.06712647919656e-13	1.38798406021408e-13	24	HLA-B/HLA-E/HLA-F/IRF1/IRF2/IFIT3/XAF1/IFIT2/PSMB8/HLA-A/OASL/IRF7/IFI35/PTPN2/RSAD2/MX1/WNT5A/OAS3/TRIM6/IFI6/HLA-C/GBP2/IFNAR1/ISG15
GO:0071357	cellular response to type I interferon	BP	24/617	82/16655	1.24756936998864e-15	2.06712647919656e-13	1.38798406021408e-13	24	HLA-B/HLA-E/HLA-F/IRF1/IRF2/IFIT3/XAF1/IFIT2/PSMB8/HLA-A/OASL/IRF7/IFI35/PTPN2/RSAD2/MX1/WNT5A/OAS3/TRIM6/IFI6/HLA-C/GBP2/IFNAR1/ISG15
GO:0050865	regulation of cell activation	BP	59/617	493/16655	1.30868728038082e-15	2.08808326069651e-13	1.4020556126653e-13	59	CCL2/TNFAIP3/VCAM1/F2RL1/CD83/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/TNFSF18/TGFBR2/ZC3H12A/JAK3/IL15/IRF1/IL7R/PTAFR/CYLD/LGALS9/THBD/NOD2/CD47/EFNB1/TNFRSF4/VNN1/TRAF2/PRKCD/PDCD1LG2/TICAM1/MAP3K8/APLF/HLA-A/CD74/CAV1/PDE5A/NR4A3/PTPN2/IDO1/WNT5A/MERTK/NCK1/LYN/HLX/STAT6/PDGFB/ABR/BTN2A2/NOS3/ADORA2B/IL4R/XBP1/HES1/LMO4/TNIP2/CD40/SHH/IL1B/EFNB2
GO:0045785	positive regulation of cell adhesion	BP	51/617	382/16655	1.47267683605595e-15	2.26581850347465e-13	1.52139697198562e-13	51	CCL2/VCAM1/CSF1/CD83/CX3CL1/CYR61/ICOSLG/HLA-E/RIPK2/EBI3/SDC4/STAT5A/TNFSF18/TGFBR2/JAK3/IL15/IL7R/PTAFR/LGALS9/NOD2/CD47/SMAD3/EFNB1/STX3/NINJ1/VNN1/TRAF2/PDCD1LG2/MAP3K8/HLA-A/FSTL3/CD74/CAV1/TFE3/NR4A3/WNT5A/NCK1/SMAD7/VEGFC/LYN/HLX/ADGRG1/CXCL12/PIEZO1/HAS2/IL4R/XBP1/HES1/SHH/IL1B/EFNB2
GO:0050900	leukocyte migration	BP	49/617	356/16655	1.60194908905167e-15	2.37972299159813e-13	1.59787880098511e-13	49	ICAM1/CCL2/VCAM1/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/TNFSF18/CXCL3/PTAFR/PIK3CD/LGALS9/THBD/OLR1/CXADR/JAM2/NOD2/CD47/SPNS2/GCNT1/CD34/CCL7/CD74/CAV1/CREB3/WNT5A/MERTK/F11R/VEGFC/DAPK2/HRH1/LYN/TLR2/PDGFB/CXCL12/ABR/S1PR1/B4GALT1/CD58/PROCR/IL1B
GO:0009615	response to virus	BP	53/617	412/16655	1.94856379412598e-15	2.70787510486926e-13	1.81821844015558e-13	53	TNFAIP3/F2RL1/BIRC3/B2M/CXCL10/DDX58/IFIH1/ACKR3/GBP1/ZC3H12A/IL15/PSMB9/IRF1/IFNGR1/IFIT3/LGALS9/TLR3/GBP3/IFNGR2/CXADR/IFIT2/PMAIP1/BCL3/FOSL1/TRIM22/LMCD1/TICAM1/HLA-A/OASL/IRF7/IFIT5/TRAF3/DPF3/C19orf66/BIRC2/RSAD2/DHX58/CREB3/MX1/OAS3/TRIM6/DDX60/DDIT4/APOBEC3G/PML/MTSS1/MB21D1/CXCL12/IFNAR1/ISG15/CHST3/CD40/SLFN11
GO:0051272	positive regulation of cellular component movement	BP	53/617	412/16655	1.94856379412598e-15	2.70787510486926e-13	1.81821844015558e-13	53	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/SDCBP/RHOB/CYR61/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/SEMA3C/TNFSF18/TGFBR2/ZC3H12A/CXCL3/PTAFR/PIK3CD/LGALS9/SMAD3/PLAU/HDAC9/PROX1/F3/NRP1/SPHK1/CCL7/CD74/DAPK3/POSTN/RNF207/BMP2/CREB3/SEMA4B/WNT5A/VEGFC/DAPK2/LYN/TLR2/PDGFB/CXCL12/HAS2/NTN1/S1PR1/ZNF703/CHST3/IL1B
GO:0022409	positive regulation of cell-cell adhesion	BP	40/617	247/16655	2.77972413567263e-15	3.74220361764928e-13	2.51272431737776e-13	40	CCL2/VCAM1/CD83/CX3CL1/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/TGFBR2/JAK3/IL15/IL7R/PTAFR/LGALS9/NOD2/CD47/EFNB1/VNN1/TRAF2/PDCD1LG2/MAP3K8/HLA-A/FSTL3/CD74/CAV1/NR4A3/WNT5A/NCK1/SMAD7/LYN/HLX/PIEZO1/HAS2/IL4R/XBP1/HES1/SHH/IL1B/EFNB2
GO:0007249	I-kappaB kinase/NF-kappaB signaling	BP	41/617	260/16655	3.19335146499535e-15	4.16877518521211e-13	2.79914826979496e-13	41	TNFAIP3/NFKB2/NFKBIA/SQSTM1/F2RL1/TIFA/RELB/BIRC3/APOL3/PLK2/TNIP1/RIPK2/OPTN/TNIP3/IL18R1/IL1A/IRAK2/ZC3H12A/C8orf4/TANK/NFKB1/CYLD/TNFSF10/LGALS9/TLR3/UBD/NOD2/GPRC5B/NFKBIB/BCL3/TRAF2/TRIM22/TICAM1/SPHK1/BIRC2/PELI2/TLR2/CASP1/TNIP2/CD40/IL1B
GO:0002687	positive regulation of leukocyte migration	BP	27/617	111/16655	3.41032446496698e-15	4.32108170443463e-13	2.90141536524126e-13	27	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/TNFSF18/CXCL3/PTAFR/LGALS9/CCL7/CD74/CREB3/WNT5A/VEGFC/DAPK2/TLR2/CXCL12/IL1B
GO:0040017	positive regulation of locomotion	BP	53/617	418/16655	3.59333715950078e-15	4.42288470946554e-13	2.96977158325057e-13	53	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/SDCBP/RHOB/CYR61/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/SEMA3C/TNFSF18/TGFBR2/ZC3H12A/CXCL3/TRIM21/PTAFR/PIK3CD/LGALS9/SMAD3/STX3/PLAU/HDAC9/PROX1/F3/NRP1/SPHK1/CCL7/CD74/DAPK3/POSTN/BMP2/CREB3/SEMA4B/WNT5A/VEGFC/DAPK2/LYN/TLR2/PDGFB/CXCL12/HAS2/NTN1/S1PR1/ZNF703/IL1B
GO:0050921	positive regulation of chemotaxis	BP	28/617	122/16655	5.21127281907032e-15	6.23615647348749e-13	4.18730342304247e-13	28	CCL2/CXCL8/F2RL1/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CXCL10/CXCL2/TNFSF18/CXCL3/LGALS9/SMAD3/STX3/F3/NRP1/CCL7/CD74/CREB3/WNT5A/VEGFC/DAPK2/PDGFB/CXCL12/S1PR1/IL1B
GO:0051607	defense response to virus	BP	46/617	331/16655	8.45884534654203e-15	9.8488393926765e-13	6.6130603164431e-13	46	TNFAIP3/F2RL1/BIRC3/B2M/CXCL10/DDX58/IFIH1/ACKR3/GBP1/ZC3H12A/IL15/IRF1/IFIT3/TLR3/GBP3/CXADR/IFIT2/PMAIP1/TRIM22/LMCD1/TICAM1/HLA-A/OASL/IRF7/IFIT5/TRAF3/DPF3/C19orf66/BIRC2/RSAD2/DHX58/CREB3/MX1/OAS3/TRIM6/DDX60/DDIT4/APOBEC3G/PML/MTSS1/MB21D1/IFNAR1/ISG15/CHST3/CD40/SLFN11
GO:2000147	positive regulation of cell motility	BP	51/617	401/16655	1.08071257338081e-14	1.22518678055909e-12	8.22658767770212e-13	51	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/SDCBP/RHOB/CYR61/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/SEMA3C/TNFSF18/TGFBR2/ZC3H12A/CXCL3/PTAFR/PIK3CD/LGALS9/SMAD3/PLAU/HDAC9/PROX1/F3/NRP1/SPHK1/CCL7/CD74/DAPK3/POSTN/BMP2/CREB3/SEMA4B/WNT5A/VEGFC/DAPK2/LYN/TLR2/PDGFB/CXCL12/HAS2/NTN1/S1PR1/ZNF703/IL1B
GO:0030335	positive regulation of cell migration	BP	50/617	389/16655	1.30891825355857e-14	1.44585124008469e-12	9.70825198590807e-13	50	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/SDCBP/RHOB/CYR61/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/SEMA3C/TNFSF18/TGFBR2/ZC3H12A/CXCL3/PTAFR/PIK3CD/LGALS9/SMAD3/PLAU/HDAC9/PROX1/F3/NRP1/SPHK1/CCL7/CD74/DAPK3/POSTN/BMP2/CREB3/SEMA4B/WNT5A/VEGFC/DAPK2/LYN/TLR2/PDGFB/CXCL12/HAS2/S1PR1/ZNF703/IL1B
GO:1903037	regulation of leukocyte cell-cell adhesion	BP	43/617	303/16655	3.1037139775499e-14	3.34269995382124e-12	2.2444752658703e-12	43	CCL2/VCAM1/CD83/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/PTAFR/CYLD/LGALS9/NOD2/CD47/EFNB1/VNN1/TRAF2/PDCD1LG2/MAP3K8/HLA-A/CD74/CAV1/PDE5A/NR4A3/PTPN2/IDO1/NCK1/LYN/HLX/CXCL12/HAS2/BTN2A2/IL4R/XBP1/HES1/SHH/IL1B/EFNB2
GO:0002685	regulation of leukocyte migration	BP	30/617	151/16655	3.44708751390652e-14	3.62196414875836e-12	2.43198882881004e-12	30	ICAM1/CCL2/CXCL8/F2RL1/SELE/CSF1/CXCL11/CXCL5/CX3CL1/CXCL1/CXCL6/CCL20/CXCL10/CXCL2/TNFSF18/CXCL3/PTAFR/LGALS9/NOD2/CCL7/CD74/CREB3/WNT5A/VEGFC/DAPK2/LYN/TLR2/CXCL12/ABR/IL1B
GO:0002694	regulation of leukocyte activation	BP	54/617	459/16655	4.61325715387413e-14	4.73188376640232e-12	3.17725079169076e-12	54	CCL2/TNFAIP3/VCAM1/F2RL1/CD83/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/TNFSF18/TGFBR2/ZC3H12A/JAK3/IL15/IRF1/IL7R/PTAFR/CYLD/LGALS9/NOD2/CD47/EFNB1/TNFRSF4/VNN1/TRAF2/PDCD1LG2/TICAM1/MAP3K8/APLF/HLA-A/CD74/CAV1/PDE5A/NR4A3/PTPN2/IDO1/WNT5A/MERTK/NCK1/LYN/HLX/STAT6/ABR/BTN2A2/ADORA2B/IL4R/XBP1/HES1/TNIP2/CD40/SHH/IL1B/EFNB2
