Gene_ID	Symbol	logFC	PValue	FDR
ENSG00000006118	TMEM132A	-2.23587503534	1.68031731885e-07	4.75796518271e-05
ENSG00000165480	SKA3	-3.55347727074	1.79151574569e-07	4.99357021679e-05
ENSG00000099194	SCD	-2.29507780079	2.05349233047e-07	5.63573072049e-05
ENSG00000134201	GSTM5	1.85990858995	2.21812704318e-07	5.99532853383e-05
ENSG00000213366	GSTM2	1.79716611281	2.36964079919e-07	6.30925704728e-05
ENSG00000185070	FLRT2	2.05570744917	3.24130723498e-07	8.50318820072e-05
ENSG00000128165	ADM2	-2.51815265394	3.53474647507e-07	9.13860034331e-05
ENSG00000091831	ESR1	1.78271030851	3.84198429389e-07	9.4503521003e-05
ENSG00000111249	CUX2	-2.25058532898	3.84982287276e-07	9.4503521003e-05
ENSG00000171388	APLN	-2.5700500599	3.74315041487e-07	9.4503521003e-05
ENSG00000187210	GCNT1	-2.15167547389	3.86723304738e-07	9.4503521003e-05
ENSG00000161249	DMKN	1.97762303526	5.03110881111e-07	0.000121283716326
ENSG00000189334	S100A14	3.37666279451	5.50064134574e-07	0.000130834587956
ENSG00000254531	AP001816.1	-1.95493243376	5.60849970523e-07	0.000131644771371
ENSG00000184905	TCEAL2	2.1382125122	5.75215083146e-07	0.000133263141146
ENSG00000095203	EPB41L4B	-1.62057967445	6.92305570581e-07	0.000158333834277
ENSG00000198734	F5	-2.62313787595	7.26852063111e-07	0.000164130556378
ENSG00000100167	SEPT3	-2.44103370563	8.19534891434e-07	0.000180489912695
ENSG00000168269	FOXI1	5.36800787077	8.1531160662e-07	0.000180489912695
ENSG00000182795	C1orf116	-2.05830130927	8.39323137802e-07	0.000182593725064
ENSG00000182333	LIPF	-8.6551558731	8.8480804883e-07	0.000190169768471
ENSG00000154330	PGM5	1.88650497046	9.44349691562e-07	0.000200550644616
ENSG00000039139	DNAH5	-3.44897445501	1.00059497948e-06	0.00020486542131
ENSG00000066279	ASPM	-3.38302008135	9.94559013108e-07	0.00020486542131
ENSG00000143797	MBOAT2	-2.03103947965	1.02208770091e-06	0.00020486542131
ENSG00000155850	SLC26A2	-1.84710846171	1.01365513711e-06	0.00020486542131
ENSG00000170477	KRT4	3.6335754	1.01447652834e-06	0.00020486542131
ENSG00000157456	CCNB2	-2.41073146983	1.23770273548e-06	0.000245326434424
ENSG00000111110	PPM1H	-1.79966998137	1.25277158875e-06	0.000245584531557
ENSG00000075218	GTSE1	-3.28493800379	1.28442919309e-06	0.000249053612777
ENSG00000063180	CA11	1.94049813106	1.3695451968e-06	0.000257171755429
ENSG00000090006	LTBP4	2.17148865758	1.35720680776e-06	0.000257171755429
ENSG00000205420	KRT6A	4.49934495124	1.3484411737e-06	0.000257171755429
ENSG00000100162	CENPM	-3.93819982426	1.40466767396e-06	0.000261019444123
ENSG00000127241	MASP1	1.77153685268	1.45627312806e-06	0.000267819137437
ENSG00000153132	CLGN	-2.21293260776	1.50239283904e-06	0.000273481488323
ENSG00000128714	HOXD13	2.82853598924	1.61503526795e-06	0.000288106141449
ENSG00000137804	NUSAP1	-2.29563193363	1.5990166604e-06	0.000288106141449
ENSG00000125257	ABCC4	-2.02351832138	1.66115280019e-06	0.000293399057451
ENSG00000196834	POTEI	-3.0900821189	1.91663922073e-06	0.00033520516724
ENSG00000100427	MLC1	4.34796834384	1.97842937526e-06	0.000342652442964
ENSG00000168874	ATOH8	1.85940292597	2.09434376556e-06	0.000359240369557
ENSG00000169515	CCDC8	1.82525192373	2.22568067867e-06	0.000378132548827
ENSG00000076554	TPD52	-1.75261009855	2.28374442874e-06	0.00038433695155
ENSG00000170509	HSD17B13	3.40746011671	2.38802302757e-06	0.000394443914712
ENSG00000227184	EPPK1	-1.88978449224	2.3722895777e-06	0.000394443914712
ENSG00000112984	KIF20A	-3.08903036892	2.45693637253e-06	0.00040210355917
ENSG00000109101	FOXN1	3.8293696192	2.51759545859e-06	0.000404607075548
ENSG00000135451	TROAP	-2.89256790551	2.50171259368e-06	0.000404607075548
ENSG00000170271	C5orf4	1.48594977115	2.57169847765e-06	0.000409611867346
ENSG00000168824	AC110814.1	4.30541266488	2.66480191111e-06	0.000420684967188
ENSG00000187094	CCK	-6.81112925345	2.79629656297e-06	0.00043757135427
ENSG00000169710	FASN	-1.8499076172	3.4604821157e-06	0.000536796004018
ENSG00000103534	TMC5	-1.56930433134	3.5842809759e-06	0.000545270355978
ENSG00000126787	DLGAP5	-3.96651083214	3.58626957447e-06	0.000545270355978
ENSG00000163536	SERPINI1	1.81745082682	3.60681103231e-06	0.000545270355978
ENSG00000164303	ENPP6	3.14366382294	3.65741475854e-06	0.000548274133425
ENSG00000034063	UHRF1	-2.66513411773	3.71873100135e-06	0.000552820352776
ENSG00000103241	FOXF1	1.70607000754	3.93494320382e-06	0.000580127700933
ENSG00000184564	SLITRK6	2.33892015464	4.01193866654e-06	0.00058663093338
ENSG00000196091	MYBPC1	-3.66100814866	4.09318665963e-06	0.000593645177408
ENSG00000147155	EBP	-1.80588032448	4.20346331125e-06	0.00060472243556
ENSG00000072571	HMMR	-3.51813173437	4.30501722326e-06	0.000613083203681
ENSG00000196104	SPOCK3	1.57477501983	4.3303146849e-06	0.000613083203681
ENSG00000162062	C16orf59	-3.05661341688	4.98111828974e-06	0.000699670623391
ENSG00000005187	ACSM3	-2.37364620955	5.19549784608e-06	0.000724081922471
ENSG00000114646	CSPG5	-2.67808413882	5.25123335534e-06	0.000726176370743
ENSG00000147394	ZNF185	1.55282441613	5.41742083962e-06	0.0007433951566
ENSG00000174562	KLK15	-3.52355406099	5.80465549239e-06	0.000790452284953
ENSG00000108244	KRT23	2.98294496874	5.92654610214e-06	0.000800936787243
ENSG00000168078	PBK	-3.97450668699	5.97441689067e-06	0.000801335510621
ENSG00000149451	ADAM33	1.46702851899	6.10259325747e-06	0.000812419112836
ENSG00000113739	STC2	-2.12402000733	6.73191330052e-06	0.00088873021619
ENSG00000178409	BEND3	-1.78890614552	6.77545318694e-06	0.00088873021619
ENSG00000105707	HPN	-2.12482749858	7.1131835016e-06	0.000919507829602
ENSG00000178445	GLDC	-3.19497782228	7.07996889422e-06	0.000919507829602
ENSG00000107485	GATA3	2.24004059951	7.82212423031e-06	0.00099309316048
ENSG00000173175	ADCY5	1.46104628968	7.90510840227e-06	0.00099309316048
ENSG00000173376	NDNF	1.87380516564	7.86631808744e-06	0.00099309316048
ENSG00000178999	AURKB	-3.21593540079	7.73892044136e-06	0.00099309316048
ENSG00000123485	HJURP	-3.48716087031	8.08301517773e-06	0.00100834201228
ENSG00000104549	SQLE	-1.53618696848	8.24874246028e-06	0.0010218702552
ENSG00000100003	SEC14L2	-2.74573194337	8.41963485369e-06	0.00103584735279
ENSG00000158715	SLC45A3	-2.43007371388	9.31910137835e-06	0.00113865376362
ENSG00000106018	VIPR2	1.87090678558	9.57973788748e-06	0.0011625370352
ENSG00000147234	FRMPD3	-2.86043081442	1.01614254681e-05	0.00122479506031
ENSG00000112742	TTK	-3.13952587622	1.04711897274e-05	0.00124210219376
ENSG00000167656	LY6D	3.758574514	1.03915715241e-05	0.00124210219376
ENSG00000250423	RP13-347D8.6	2.34060069191	1.05138982711e-05	0.00124210219376
ENSG00000088538	DOCK3	2.86633263607	1.09581264331e-05	0.00128606590421
ENSG00000164647	STEAP1	-1.60914770297	1.12056210926e-05	0.00130651682791
ENSG00000182902	SLC25A18	-2.29948280158	1.13763932907e-05	0.00131781480463
ENSG00000166823	MESP1	-3.6765644058	1.19859809591e-05	0.00137947041502
ENSG00000186193	C9orf140	-1.97898906703	1.29002014874e-05	0.00147517111752
ENSG00000156970	BUB1B	-3.05299539792	1.30890106928e-05	0.00148722841878
ENSG00000189057	FAM111B	-2.6461150471	1.32491649582e-05	0.00149589780816
ENSG00000101443	WFDC2	2.19756840875	1.40162391156e-05	0.00157255150682
ENSG00000093009	CDC45	-4.20428920821	1.42885075102e-05	0.00159307928421
ENSG00000066382	MPPED2	1.50951557524	1.45752170058e-05	0.00160680485875
ENSG00000111404	RERGL	2.0905369813	1.45917589056e-05	0.00160680485875
ENSG00000102924	CBLN1	-3.927773344	1.49913208729e-05	0.00164067590829
ENSG00000138180	CEP55	-3.45653495953	1.51694931336e-05	0.00165005236591
ENSG00000178363	CALML3	3.57534356741	1.53509763511e-05	0.00165967313411
ENSG00000237649	KIFC1	-2.78928617061	1.75348026877e-05	0.00188435750088
ENSG00000108924	HLF	1.65138748775	1.81301196347e-05	0.0019366658932
ENSG00000106258	CYP3A5	2.55288018654	1.84211390619e-05	0.00195603987931
ENSG00000119147	C2orf40	1.75462169972	1.86976148002e-05	0.00197364941077
ENSG00000125968	ID1	1.55105478321	1.91872209052e-05	0.00201341666898
ENSG00000145703	IQGAP2	-1.58250114682	1.98524552203e-05	0.0020589997016
ENSG00000164879	CA3	3.13528023193	1.97516906998e-05	0.0020589997016
ENSG00000166886	NAB2	1.36761861132	2.01161961414e-05	0.00206237254579
ENSG00000198932	GPRASP1	1.33221971911	2.00478940996e-05	0.00206237254579
ENSG00000126950	TMEM35	2.1690434134	2.07635315122e-05	0.00211657507798
ENSG00000165215	CLDN3	-2.50614871949	2.10673129166e-05	0.00212327567864
ENSG00000187889	C1orf168	-2.32199627227	2.0949156392e-05	0.00212327567864
ENSG00000205277	MUC12	4.44475365024	2.12993860787e-05	0.00213460532729
ENSG00000187634	SAMD11	1.7674872718	2.17165638719e-05	0.00216349680565
ENSG00000253304	TMEM200B	1.91605296735	2.18302273119e-05	0.00216349680565
ENSG00000113924	HGD	-1.95356617333	2.24385940393e-05	0.00219935208279
ENSG00000143995	MEIS1	1.2904250094	2.23307825199e-05	0.00219935208279
ENSG00000106538	RARRES2	1.5478979652	2.51281115634e-05	0.00244722161717
ENSG00000116774	OLFML3	1.49297924065	2.52418172296e-05	0.00244722161717
ENSG00000112297	AIM1	-1.59329568732	2.58955112389e-05	0.00249702716211
ENSG00000092096	SLC22A17	1.29828660511	2.62668993624e-05	0.00251922160068
ENSG00000105011	ASF1B	-2.70920655847	2.75991990118e-05	0.00263284551428
ENSG00000034971	MYOC	2.10044485368	2.98128320579e-05	0.00282888888873
ENSG00000072195	SPEG	1.35244630902	3.1460804633e-05	0.00296946716321
ENSG00000197766	CFD	1.70733853991	3.18517352746e-05	0.00299054266086
ENSG00000173898	SPTBN2	-1.47295132997	3.33150740563e-05	0.00310690295425
ENSG00000183023	SLC8A1	1.45205157572	3.34393949895e-05	0.00310690295425
ENSG00000128918	ALDH1A2	1.51659677893	3.54348027661e-05	0.00327524065567
ENSG00000154654	NCAM2	3.87724187242	3.61005559304e-05	0.00331957637754
ENSG00000099953	MMP11	-1.66569136092	3.6860315698e-05	0.00336969575211
ENSG00000138735	PDE5A	1.34401711067	3.70233963458e-05	0.00336969575211
ENSG00000184313	HEATR8	1.71800742387	3.72740183036e-05	0.00337528534273
ENSG00000171940	ZNF217	-1.51982196453	3.82420897333e-05	0.00344545777148
ENSG00000186204	CYP4F12	2.27636300632	3.89054681279e-05	0.00347017322967
ENSG00000196754	S100A2	2.19511839786	3.8822560022e-05	0.00347017322967
ENSG00000129474	JUB	1.50062632586	3.97912568179e-05	0.0035315235342
ENSG00000016082	ISL1	1.44129083832	4.00874026016e-05	0.00354019393569
ENSG00000109625	CPZ	1.76388379226	4.13043122459e-05	0.00362969273968
ENSG00000069206	ADAM7	-8.57420310859	4.15457558015e-05	0.0036330134203
ENSG00000183317	EPHA10	-2.24012045504	4.17513636295e-05	0.00363318329652
ENSG00000197380	DACT3	1.45112394377	4.20564948987e-05	0.00364196996358
ENSG00000134138	MEIS2	1.42016868237	4.29949202865e-05	0.00370524822701
ENSG00000143158	BRP44	-1.6999477278	4.35918604492e-05	0.00373863076227
ENSG00000198203	SULT1C2	-3.87902896515	4.4498130745e-05	0.00379809643235
ENSG00000080493	SLC4A4	-1.76285269352	4.60389202225e-05	0.00390149269745
ENSG00000115525	ST3GAL5	1.67507955683	4.61469229868e-05	0.00390149269745
ENSG00000159167	STC1	-1.76657271426	4.72616114535e-05	0.00397688625811
ENSG00000186205	MOSC1	-1.90001172532	4.75026654452e-05	0.00397840398533
ENSG00000164920	OSR2	1.47708770886	5.37746499594e-05	0.00448264476928
ENSG00000165304	MELK	-2.74570212678	5.4873305389e-05	0.00455295299923
ENSG00000013810	TACC3	-1.88525780775	5.62740453768e-05	0.00456305770672
ENSG00000128713	HOXD11	2.74656457129	5.52688284891e-05	0.00456305770672
ENSG00000140254	DUOXA1	2.24294351078	5.5808118711e-05	0.00456305770672
ENSG00000144681	STAC	2.41669270662	5.59190801441e-05	0.00456305770672
ENSG00000206075	SERPINB5	2.17930235336	5.6145867062e-05	0.00456305770672
ENSG00000147257	GPC3	1.66958399522	5.7524778219e-05	0.0046224527867
ENSG00000167332	OR51E2	-2.69512786865	5.74820363048e-05	0.0046224527867
ENSG00000051341	POLQ	-3.17757284574	5.80566838622e-05	0.00464135732167
ENSG00000186526	CYP4F8	-3.19429635549	5.82803991285e-05	0.00464135732167
ENSG00000135744	AGT	-2.01165657619	5.89898894428e-05	0.00467698061231
ENSG00000138778	CENPE	-1.92536262145	6.00543769785e-05	0.00474030987132
ENSG00000205978	NYNRIN	1.43843486021	6.08093882972e-05	0.0047787606953
ENSG00000082175	PGR	1.90986563602	6.22466401471e-05	0.00483862306975
ENSG00000103942	HOMER2	-1.66886986703	6.27205922192e-05	0.00483862306975
ENSG00000117650	NEK2	-3.25371027721	6.29273250845e-05	0.00483862306975
ENSG00000141052	MYOCD	1.70700445175	6.20719834375e-05	0.00483862306975
ENSG00000197299	BLM	-2.82233064284	6.2515740881e-05	0.00483862306975
ENSG00000198901	PRC1	-1.61345561675	6.32289252956e-05	0.0048409476324
ENSG00000146205	ANO7	-1.92822529156	6.48853294163e-05	0.00494653586093
ENSG00000162989	KCNJ3	2.35160147721	6.55065998503e-05	0.00497264780736
ENSG00000172201	ID4	1.60819202751	6.59510747123e-05	0.00498517466861
ENSG00000100628	ASB2	1.54433389244	6.74947656799e-05	0.00508033386061
ENSG00000186474	KLK12	-2.45577910929	6.79884444288e-05	0.00509599100909
ENSG00000106077	ABHD11	-1.53590444169	6.89842916574e-05	0.0051489990748
ENSG00000164039	BDH2	1.30691059615	6.99099311906e-05	0.00519634692712
ENSG00000005189	AC004381.6	-2.08179254537	7.03778423382e-05	0.00520942045424
ENSG00000159263	SIM2	-1.47226860848	7.24772176274e-05	0.00534264911262
ENSG00000188959	C9orf152	-1.45887378218	7.508728826e-05	0.00551227216161
ENSG00000206073	SERPINB4	4.95606577723	7.56701078999e-05	0.00553229120831
ENSG00000157911	PEX10	-1.49110186839	7.6910886125e-05	0.00560005427585
ENSG00000124935	SCGB1D2	2.49645437514	7.77050263818e-05	0.00561312517818
ENSG00000178038	ALS2CL	1.3959244581	7.77197106906e-05	0.00561312517818
ENSG00000077942	FBLN1	1.52666418369	7.99501838644e-05	0.00572138300966
ENSG00000101412	E2F1	-2.37130356095	7.99852017951e-05	0.00572138300966
ENSG00000143748	NVL	-1.39105038087	8.01808258544e-05	0.00572138300966
ENSG00000155760	FZD7	1.31877405526	8.10757398389e-05	0.00575145294103
ENSG00000189280	GJB5	3.16589149732	8.12470509075e-05	0.00575145294103
ENSG00000174332	GLIS1	2.25224055804	8.19524927316e-05	0.00577846054482
ENSG00000196338	NLGN3	1.79711477178	8.34397112436e-05	0.00586016145226
ENSG00000139910	NOVA1	1.72784106997	8.434343462e-05	0.00588818885766
ENSG00000188610	FAM72B	-7.76588945311	8.44989263727e-05	0.00588818885766
ENSG00000111665	CDCA3	-3.66977593282	8.55710517558e-05	0.00593969646798
ENSG00000156802	ATAD2	-1.4549694592	8.6033832554e-05	0.00594867263151
ENSG00000092853	CLSPN	-2.62977728331	8.67174008659e-05	0.00597278654072
ENSG00000115163	CENPA	-5.2865254324	8.81014198641e-05	0.00604477395752
ENSG00000177674	AGTRAP	-1.24915848969	9.12149304891e-05	0.00623441818006
ENSG00000164379	FOXQ1	2.40841973951	9.24204226212e-05	0.00629270198145
ENSG00000112902	SEMA5A	1.39215823002	9.32094378247e-05	0.00629306578809
ENSG00000133067	LGR6	2.28920240215	9.30712582246e-05	0.00629306578809
ENSG00000176654	NANOGP1	-7.1618115497	9.38368462152e-05	0.00629306578809
ENSG00000188373	C10orf99	4.93221076972	9.37582598647e-05	0.00629306578809
ENSG00000154027	AK5	-2.05437698488	9.4194884628e-05	0.00629341777857
ENSG00000183010	PYCR1	-1.43632791872	9.47855958882e-05	0.00630925464571
ENSG00000134853	PDGFRA	1.41888135767	9.57113743203e-05	0.00634719407621
ENSG00000019549	SNAI2	1.52402491745	0.000102207370518	0.00673820267827
ENSG00000110931	CAMKK2	-1.41428934359	0.000102740687734	0.00673820267827
ENSG00000123892	RAB38	2.61013688342	0.000102368593539	0.00673820267827
ENSG00000114270	COL7A1	1.27513190004	0.000104778064271	0.00684665160635
ENSG00000069482	GAL	-3.46378858874	0.000106903904092	0.00696006841274
ENSG00000171201	SMR3B	9.25413420472	0.000108380418235	0.00703053920323
ENSG00000106809	OGN	1.55280847976	0.000109415743382	0.00703148147978
ENSG00000121871	SLITRK3	3.03566692322	0.000109144688836	0.00703148147978
ENSG00000129810	SGOL1	-2.86312017789	0.000109577434351	0.00703148147978
ENSG00000165300	SLITRK5	1.67712102588	0.000112446965967	0.00716407652102
ENSG00000166869	AC130454.2	3.1313523842	0.000112073618522	0.00716407652102
ENSG00000119938	PPP1R3C	1.48440096143	0.000114345753316	0.00725912417579
ENSG00000129194	SOX15	1.97126204488	0.000115457214263	0.00730369235898
ENSG00000035499	DEPDC1B	-3.7958326433	0.000116179025444	0.00732338386891
ENSG00000165023	DIRAS2	-4.58112359091	0.000116978442756	0.00734781140958
ENSG00000143753	DEGS1	-1.48137390255	0.000124831834681	0.00781359683815
ENSG00000140538	NTRK3	1.89688250063	0.000129035211181	0.00804845850442
ENSG00000068976	PYGM	1.54881965261	0.000129703528134	0.00805877058036
ENSG00000076344	RGS11	-1.21597225634	0.000130104037622	0.00805877058036
ENSG00000177707	PVRL3	-1.90347237029	0.000135737242203	0.00837860437255
ENSG00000117318	ID3	1.28550055047	0.000136668883089	0.008407021398
ENSG00000186185	KIF18B	-3.72323379154	0.000138201548209	0.00847208734882
ENSG00000043591	ADRB1	-1.77001891992	0.000139455198008	0.00851966190842
ENSG00000153993	SEMA3D	2.7044238355	0.000141788489291	0.00863264457495
ENSG00000134057	CCNB1	-1.9002270588	0.000145332435123	0.0088183173815
ENSG00000077152	UBE2T	-2.03884226638	0.000146163013397	0.00881986637082
ENSG00000094755	GABRP	1.86369065232	0.00014672753256	0.00881986637082
ENSG00000109084	TMEM97	-1.34985029419	0.000146841208147	0.00881986637082
ENSG00000148344	PTGES	1.92453212056	0.000147671850505	0.00883999376227
ENSG00000004776	HSPB6	1.34793574958	0.000148852027458	0.00888084052785
ENSG00000153823	PID1	1.35889620115	0.000152412935621	0.00906298119513
ENSG00000074047	GLI2	1.52240288911	0.000158250808973	0.00937885774509
ENSG00000166482	MFAP4	1.45266025488	0.000159295370692	0.00939092808937
ENSG00000185615	PDIA2	-2.60580641054	0.000159507327265	0.00939092808937
ENSG00000132142	ACACA	-1.4872138804	0.000167157049733	0.00980892963875
ENSG00000162998	FRZB	1.30846271304	0.000169180921718	0.00986280543308
ENSG00000179178	TMEM125	-1.65930675966	0.000168906813554	0.00986280543308
ENSG00000116132	PRRX1	1.48416071305	0.0001716716794	0.00997541071276
ENSG00000242265	PEG10	2.23144685221	0.000172231521822	0.00997544843438
ENSG00000122367	LDB3	1.33137245353	0.000173209545642	0.00999962810584
ENSG00000117114	LPHN2	1.21419912121	0.000175244425374	0.0100520427789
ENSG00000188910	GJB3	2.56090439471	0.000175240711852	0.0100520427789
ENSG00000102172	SMS	-1.38043056992	0.000186387441268	0.010625917677
ENSG00000142619	PADI3	5.53281781997	0.000187285076232	0.010625917677
ENSG00000188486	H2AFX	-1.35921216974	0.000187631821754	0.010625917677
ENSG00000242173	ARHGDIG	-3.2474152969	0.000186457836019	0.010625917677
ENSG00000152137	HSPB8	1.45215600929	0.000189005248106	0.0106361659967
ENSG00000166803	KIAA0101	-2.08158300432	0.000188467604248	0.0106361659967
ENSG00000167747	C19orf48	-1.49588760165	0.000190943877373	0.010676861681
ENSG00000174371	EXO1	-4.19564248484	0.000191523949657	0.010676861681
ENSG00000184613	NELL2	2.80952475959	0.000191190650476	0.010676861681
ENSG00000186480	INSIG1	-1.16770890298	0.000196786120048	0.0109360361232
ENSG00000027001	MIPEP	-1.75405990107	0.000203159473573	0.0112551610219
ENSG00000140263	SORD	-1.63645770372	0.000203977692693	0.0112655048296
ENSG00000178206	CYP4F31P	-2.25826268392	0.000206539305408	0.0113717736703
ENSG00000107317	PTGDS	1.97512492962	0.000210533655605	0.0115560304072
ENSG00000166405	RIC3	1.57256071032	0.000212304238307	0.0116174702673
ENSG00000153002	CPB1	-3.99951797758	0.000214137248281	0.0116819399758
ENSG00000077943	ITGA8	1.37916016289	0.000217501422358	0.0117575996165
ENSG00000100307	CBX7	1.23381180355	0.000217322308049	0.0117575996165
ENSG00000148798	INA	-3.28943293206	0.00021667482289	0.0117575996165
ENSG00000113396	SLC27A6	2.32333227649	0.000218805451434	0.0117923578493
ENSG00000135476	ESPL1	-2.37361781982	0.000220157368523	0.0118099425853
ENSG00000169562	GJB1	-2.0636880174	0.000220455792416	0.0118099425853
ENSG00000078898	BPIFB2	-4.13568709145	0.000223383619355	0.0119309592385
ENSG00000154655	L3MBTL4	2.21144000469	0.000225661876647	0.0120166633358
ENSG00000123572	NRK	2.0842839783	0.000226898112178	0.0120465339974
ENSG00000175130	MARCKSL1	-1.38727116757	0.000228622771881	0.0120663607744
ENSG00000221955	SLC12A8	-1.54239881257	0.000228624359087	0.0120663607744
ENSG00000131067	GGT7	1.38584481503	0.000229733158858	0.0120891145158
ENSG00000103067	ESRP2	-1.20763769094	0.000233045569453	0.0122273526867
ENSG00000166123	GPT2	-1.37876273494	0.000234224054212	0.0122524538592
ENSG00000185215	TNFAIP2	1.36621592515	0.000234897652326	0.0122524538592
ENSG00000173457	PPP1R14B	-1.26916002319	0.000236038120563	0.0122760467426
ENSG00000167074	TEF	1.36019509409	0.000236808991	0.0122803360188
ENSG00000135472	FAIM2	1.79412671458	0.000238260652494	0.0123198022604
ENSG00000120820	GLT8D2	1.18859786776	0.000239998866516	0.0123738143924
ENSG00000240771	ARHGEF25	1.18454578178	0.000241038256703	0.0123915892257
