gene	Total_value	TRAP_value	log2_fold_change	p_value
l(2)06496	14,3812	33,4641	1.21844	0,0002
mtSSB	36,8852	85,7273	1.21671	0,00005
mRpS14	52,6914	122,39	1.21585	0,00005
mRpL9	48,37	112,347	1.21578	0,00015
CG13751	255,998	594,408	1.21532	0,00005
CG10635	43,3568	100,67	1.2153	0,0002
MED7	36,6884	85,1227	1.21422	0,00005
CG5543	4,11591	9,52698	1.21081	0,00745
Dpy-30L1	51,6236	119,324	1.20878	0,00015
CG13339	32,6071	75,2949	1.20737	0,00005
CG10365	64,6331	148,56	1.2007	0,00005
asf1	7,81257	17,9545	1.20048	0,0004
CG10949	14,8038	33,9906	1.19917	0,00005
CG11753	73,2328	167,739	1.19565	0,0002
CG13993	38,9021	88,9723	1.19351	0,00025
mRpL48	54,4028	124,244	1.19143	0,0002
CG13365	114,594	261,365	1.18953	0,00005
CG14229	33,9735	77,4533	1.18892	0,00005
CG10320	1019,38	2320,58	1.18679	0,00005
tsu	31,3859	71,4082	1.18597	0,0006
alc	143,331	325,883	1.18501	0,00005
CG11699	106,318	241,13	1.18142	0,00005
CG17249	5,90041	13,3731	1.18045	0,0053
mRpL30	64,4243	145,858	1.17889	0,00005
CG6812	16,9713	38,4217	1.17882	0,00005
CG7770	88,154	198,564	1.1715	0,00005
mRpL36	32,0363	72,097	1.17023	0,0018
CG18004	25,5799	57,4484	1.16726	0,00005
CG6878	86,8437	194,832	1.16574	0,00035
CG9643	9,15183	20,5164	1.16465	0,0073
lsn	15,1575	33,9675	1.16412	0,00075
CG16753	12,3716	27,644	1.15993	0,00495
Upf3	8,75083	19,5463	1.15941	0,00015
CG4603	27,2911	60,8717	1.15734	0,00005
HPS1	12,064	26,9068	1.15727	0,00005
mre11	10,4974	23,3921	1.15599	0,00005
CG10527	86,4123	192,35	1.15442	0,00005
mRpL15	29,5406	65,5891	1.15076	0,0003
Syx17	32,712	72,5595	1.14934	0,00025
CG10053	12,963	28,7025	1.14678	0,00255
CG9306	319,955	708,09	1.14607	0,00005
mRpL14	48,9189	108,26	1.14603	0,00005
Vha14-1	240,483	531,773	1.14488	0,00005
mRpL2	34,5688	76,4274	1.14462	0,00005
Nedd8	74,4309	164,215	1.14161	0,00005
CG17904	30,2286	66,5824	1.13923	0,00005
Hexo2	18,7813	41,364	1.13908	0,00015
CG12123	12,6314	27,8064	1.1384	0,00075
mRpL3	19,0771	41,789	1.13128	0,00005
l(1)10Bb	33,7853	73,9417	1.12999	0,00005
ecd	14,0075	30,6036	1.1275	0,00005
Trap1	24,273	53,0179	1.12713	0,00005
CG14898	70,078	152,986	1.12637	0,00075
CG10904	13,8848	30,2659	1.12418	0,0013
CG8336	17,3508	37,7953	1.12321	0,00005
Gmd	10,5871	23,0523	1.12261	0,0003
aay	117,395	255,479	1.12183	0,0001
Pgk	298,527	649,522	1.12152	0,00005
Ubi-p5E	243,479	529,572	1.12103	0,00005
CG32856	29,6171	64,4175	1.12102	0,00325
PQBP1	24,3108	52,8234	1.11958	0,00305
Syx16	35,4561	77,0144	1.11909	0,00005
CG1968	15,6971	34,0896	1.11883	0,00035
PCID2	5,51762	11,9622	1.11637	0,01255
NC2beta	20,535	44,5147	1.11619	0,00295
Socs44A	17,5118	37,9456	1.1156	0,001
CG30197	963,537	2086,79	1.11488	0,00005
CG31229	67,6878	146,524	1.11416	0,00005
blos3	52,7883	114,136	1.11246	0,01345
CG15912	11,7109	25,315	1.11215	0,00335
CG7706	4,82311	10,4193	1.11122	0,0015
Clp	5,61175	12,1142	1.11017	0,0121
Eno	706,545	1524,93	1.10989	0,00005
mRpS18A	37,5133	80,8546	1.10793	0,00025
P5cr	21,4738	46,2831	1.10791	0,00055
CG3793	4,77641	10,2835	1.10633	0,0091
CG17327	141,322	304,172	1.10591	0,00005
CG9581	13,9596	30,0267	1.10499	0,00115
CG6308	22,1663	47,6218	1.10325	0,00105
CG14817	120,054	257,691	1.10197	0,00005
CG7747	6,66141	14,2925	1.10136	0,006
mRpS26	21,6501	46,4116	1.10011	0,0004
Ced-12	7,26511	15,5666	1.0994	0,0007
gammaTub23C	13,9656	29,8986	1.0982	0,00065
CG12848	93,1613	199,173	1.09622	0,00005
Tom7	338,889	721,635	1.09045	0,00005
vps24	91,0178	193,808	1.0904	0,00005
CG12173	37,6872	80,2451	1.09034	0,00005
mRpL51	16,7003	35,4837	1.08729	0,00915
CG18619	103,298	219,377	1.0866	0,00005
mRpL40	42,3015	89,7586	1.08534	0,00005
CG11927	9,07243	19,2461	1.085	0,0011
CG9034	280,871	595,726	1.08474	0,00005
egr	6,95061	14,7411	1.08463	0,0005
blos2	23,0525	48,8448	1.08328	0,0088
Neos	10,3193	21,8579	1.08281	0,0039
Vha36-1	97,4191	206,084	1.08095	0,00005
CG13901	24,0683	50,8792	1.07994	0,00015
CG6353	13,2108	27,9158	1.07936	0,00045
CG3925	21,834	46,1037	1.0783	0,00005
CG2076	48,7233	102,849	1.07785	0,00005
mRpL44	29,4744	62,2148	1.07779	0,0066
Dip2	14,0388	29,6199	1.07715	0,0035
PrBP	28,1644	59,3577	1.07556	0,00005
SmE	101,216	212,978	1.07327	0,0001
CG41378	22,5637	47,4623	1.07278	0,00085
Sps2	74,8503	157,38	1.07218	0,00005
CG16865	10,5821	22,2311	1.07095	0,00675
mRpL52	88,3613	185,495	1.06989	0,00005
CG14450	9,46179	19,8518	1.06908	0,0027
CG11035	31,9453	67,0013	1.06858	0,0007
abs	4,86342	10,1933	1.06758	0,0048
CG31278	9,15127	19,1777	1.06739	0,01165
Pcd	147,418	308,424	1.065	0,00005
CG10874	33,7084	70,5195	1.06492	0,00005
bonsai	33,8632	70,8392	1.06483	0,00095
CG6724	9,91835	20,7074	1.06197	0,0006
CG8675	35,8915	74,829	1.05996	0,00005
MED28	32,1827	67,0824	1.05965	0,00025
LSm1	32,3195	67,3017	1.05824	0,00875
Bet1	41,4112	86,18	1.05733	0,00015
CG31705	52,4965	109,032	1.05446	0,00005
CG7598	40,2801	83,6595	1.05446	0,00005
Smn	15,7894	32,789	1.05426	0,0017
CG12400	619,471	1286,09	1.05389	0,00005
mRpS18C	38,6042	80,1406	1.05378	0,01315
CG5068	17,441	36,1769	1.05258	0,00005
CG9249	13,4483	27,863	1.05093	0,0033
CG7967	52,6455	109,058	1.05072	0,00005
CG11802	26,5541	54,9788	1.04994	0,00005
CG8680	141,303	292,382	1.04906	0,00005
CG31126	49,9383	103,285	1.04841	0,00095
Atac2	3,04165	6,28077	1.04609	0,01065
cype	2409,53	4974,21	1.04572	0,00005
Fis1	127,897	263,506	1.04285	0,00005
Rca1	9,71072	19,9507	1.03879	0,00115
CG11396	20,8655	42,7234	1.03391	0,0001
CG9154	20,3943	41,7522	1.03369	0,0062
CG34015	39,9061	81,6042	1.03204	0,00025
Tom20	173,368	354,255	1.03095	0,00005
CG7407	20,4337	41,7225	1.02988	0,0001
Csl4	11,5504	23,5619	1.02851	0,00725
CG9067	52,8619	107,806	1.02814	0,00085
CG17141	9,45354	19,2747	1.02778	0,00825
CG14881	19,1692	39,077	1.02753	0,00155
CG14543	40,8391	83,1997	1.02663	0,00145
CG6276	25,3763	51,6696	1.02584	0,00005
l(2)k14505	32,1039	65,3465	1.02536	0,00005
CG11752	261,846	532,595	1.02432	0,00005
CG3353	9,32911	18,9748	1.02427	0,00185
vito	11,9781	24,3558	1.02387	0,0052
CG15443	11,6992	23,7759	1.02308	0,0013
sds22	13,7046	27,8481	1.02292	0,0004
l(3)neo18	407,422	827,263	1.02182	0,00005
CG9657	24,0886	48,9111	1.02181	0,00005
CG3165	12,4511	25,2726	1.02131	0,00085
Dcp1	12,7019	25,7691	1.0206	0,00045
CG4743	27,223	55,0745	1.01656	0,0002
Yippee	70,2217	142,043	1.01634	0,00005
CG3732	37,6487	76,0426	1.01421	0,00035
Acyp2	44,7782	90,4324	1.01404	0,00205
Bub3	13,9336	28,1237	1.01321	0,001
ninaB	55,9718	112,913	1.01244	0,00215
mRpL12	63,5282	128,155	1.01242	0,00005
CG17385	104,29	210,287	1.01176	0,00005
Bka	21,169	42,681	1.01164	0,0014
CG1665	20,8926	42,0191	1.00806	0,0132
CalpB	12,156	24,4265	1.00678	0,00005
eIF2B-beta	34,0625	68,3941	1.00569	0,0005
Sod	1042,6	2093,06	1.00543	0,00005
Vhl	21,3307	42,7903	1.00435	0,0018
mRpS17	42,2388	84,7128	1.00401	0,00015
CG31441	8,44045	16,9269	1.00392	0,00595
SmB	22,4547	44,9777	1.00219	0,0013
Tpi	443,799	888,361	1.00124	0,00005
wun	25,3065	50,6379	1.00071	0,00005
CG6195	18,6564	37,2931	0.999234	0,0001
Sod2	305,329	610,261	0.999064	0,00005
dgt1	11,231	22,4452	0.998914	0,00565
CG3262	87,1477	174,054	0.998002	0,00005
CG6852	121,161	241,944	0.997748	0,0009
morgue	14,7199	29,3704	0.996597	0,00045
zetaCOP	49,7845	99,3321	0.996563	0,00005
CG11781	47,9241	95,6054	0.996342	0,0021
CG10098	21,8619	43,613	0.996339	0,0016
SmD2	43,9134	87,5864	0.996047	0,00375
CG9987	25,8449	51,5408	0.995835	0,00005
mRpL50	38,225	76,1038	0.993454	0,00055
CG14696	6,10867	12,1528	0.992363	0,0064
CG1635	16,7671	33,3534	0.992195	0,0002
CG8818	94,0929	186,821	0.9895	0,00005
CG11447	18,3532	36,4205	0.988716	0,0058
CG3214	219,288	435,042	0.988325	0,00005
Cdk9	19,9591	39,5893	0.988061	0,00005
CG5895	32,1041	63,6225	0.986779	0,00005
mRpS33	65,706	130,133	0.985892	0,00135
CG8042	16,8831	33,4351	0.985786	0,00015
mRpL17	31,2481	61,8638	0.985326	0,0004
Rpb5	11,6203	23	0.98499	0,0123
CG12042	22,1907	43,8535	0.982737	0,0001
Zpr1	9,71466	19,1862	0.981831	0,0006
CG16935	40,1315	79,1112	0.979149	0,00015
CG17202	81,8395	161,235	0.9783	0,00005
CG9667	12,0043	23,6498	0.978281	0,0099
CG5961	66,0109	130,036	0.97813	0,00015
snRNP-U1-C	21,0007	41,3669	0.978038	0,0032
Alg-2	16,3075	32,1206	0.977967	0,0006
Taf12	121,826	239,94	0.977847	0,00005
Arf102F	78,9819	155,372	0.97613	0,00005
EndoGI	20,9061	41,0738	0.974299	0,0002
CG10638	26,907	52,8349	0.97351	0,00005
CG3803	13,3621	26,2078	0.971844	0,001
CG14270	26,9055	52,7679	0.971761	0,0005
CG14043	10,2709	20,141	0.971575	0,0003
CG16857	52,1912	102,316	0.97116	0,00005
SelD	11,775	23,0805	0.970949	0,0006
or	34,3219	67,2623	0.970671	0,0003
thoc7	41,1696	80,5546	0.968388	0,00355
Gos28	26,809	52,4471	0.968144	0,0002
CG4686	30,6587	59,9475	0.967403	0,00005
CG33506	14,8625	29,0442	0.966572	0,00755
alphaTub84D	132,43	258,359	0.964141	0,00005
CG7789	22,5999	44,0897	0.964126	0,0002
CG10802	28,0459	54,7047	0.963875	0,00005
Rpt4	32,7479	63,8592	0.96349	0,00565
CG5703	134,528	261,459	0.958677	0,00005
CG4042	21,2632	41,303	0.957887	0,00065
Rop	26,5595	51,5868	0.957775	0,0053
GckIII	16,3518	31,7244	0.956144	0,00005
CG7630	1808,73	3507,04	0.955278	0,00005
CG31357	24,5206	47,5348	0.954987	0,00005
CG3587	10,2591	19,8647	0.953306	0,0053
CG5181	7,82755	15,1543	0.953095	0,0121
CG1814	103,504	200,335	0.952728	0,00815
Hakai	16,806	32,4609	0.949728	0,0001
CG13295	23,0073	44,3662	0.947368	0,00005
CG10628	33,0646	63,7321	0.946733	0,00005
CG30291	19,5625	37,6947	0.946269	0,00005
CG9350	444,882	856,725	0.945409	0,00005
metl	22,4952	43,2979	0.944681	0,00025
CG9853	24,5938	47,3304	0.944472	0,006
exo70	7,03533	13,5338	0.943881	0,0021
mRpL27	60,8031	116,882	0.942842	0,00035
mRpL1	33,2461	63,7875	0.940088	0,00015
CG17294	15,1447	29,044	0.939433	0,003
CG6340	76,6407	146,976	0.939394	0,00005
CG6723	13,7412	26,3418	0.938847	0,0001
Prp38	19,6275	37,5914	0.937525	0,00045
CG13220	94,9639	181,848	0.937285	0,00005
CG7903	13,7259	26,2821	0.937182	0,00095
JhI-26	36,84	70,5376	0.937118	0,00005
CG34117	151,677	290,336	0.936718	0,00005
CG8435	12,2925	23,4968	0.934688	0,0033
CG31549	22,841	43,6571	0.934591	0,0003
Prosbeta5	58,4158	111,507	0.9327	0,00005
Su(P)	23,4026	44,6474	0.931906	0,00005
Aats-pro	6,56255	12,4996	0.929551	0,0106
CG16717	10,1657	19,3139	0.925929	0,0038
RpS15Ab	63,6205	120,864	0.925819	0,00105
MED22	41,7969	79,3645	0.9251	0,0015
Dlc90F	127,536	242,002	0.924115	0,00005
CG34200	318,358	603,734	0.923262	0,0014
CG3568	6,61284	12,5323	0.92231	0,00715
Ubi-p63E	68,2525	129,327	0.922071	0,00005
CG12868	17,2366	32,5969	0.91926	0,00885
mRpS24	30,5869	57,7047	0.915773	0,0087
CG14894	34,383	64,8039	0.914387	0,00015
Fibp	32,6745	61,5083	0.912616	0,00015
Uch	26,528	49,8975	0.911452	0,0004
mRpL37	11,5916	21,7998	0.91123	0,0026
Prp31	16,4607	30,9531	0.911053	0,00445
HBS1	15,9482	29,9891	0.911043	0,00005
Sirt2	30,9739	58,2286	0.910674	0,00005
CG17691	76,7659	144,211	0.909647	0,00005
mRpS6	28,9393	54,3489	0.90922	0,0086
fws	17,7496	33,3276	0.908929	0,00195
CG31098	15,7291	29,5103	0.907781	0,0009
spt4	16,8668	31,6198	0.906641	0,006
mRpL16	33,8895	63,4985	0.905884	0,0004
CG2789	177,631	332,798	0.905762	0,00005
sec6	7,66693	14,3577	0.905108	0,00105
Nup107	6,72351	12,5828	0.904171	0,0055
PyK	596,826	1116,28	0.903316	0,00005
CG12895	29,4179	54,9472	0.901354	0,0058
FKBP59	55,0615	102,75	0.900029	0,00005
Neb-cGP	1718,95	3203,71	0.898219	0,00015
dgt2	19,5642	36,4452	0.897512	0,0036
CG5516	31,9157	59,4082	0.896395	0,0031
CG6950	88,9353	165,453	0.895595	0,00005
Aats-phe	32,1878	59,7584	0.892626	0,00005
CG1847	12,1796	22,609	0.892429	0,0005
CG10721	19,0523	35,3463	0.891598	0,00185
Arpc3A	20,5004	38,0327	0.891587	0,00325
Sry-beta	14,7095	27,2793	0.891058	0,00205
Cyp28a5	44,657	82,8093	0.890906	0,00005
CG3570	22,4986	41,7118	0.890621	0,0025
CG18624	1095,98	2031,72	0.890474	0,00005
CG10265	11,0244	20,4152	0.888946	0,00295
Ho	25,6852	47,5626	0.888888	0,0012
ubl	58,4245	108,113	0.887889	0,00755
geminin	13,137	24,3041	0.887565	0,008
CG8993	92,2336	170,53	0.886663	0,00205
Prosalpha5	72,3737	133,548	0.883821	0,00005
CG4968	33,798	62,3135	0.882608	0,00025
DnaJ-H	129,56	238,816	0.882277	0,00015
mRpL42	61,6491	113,491	0.88043	0,0065
CG40045	204,001	375,043	0.878478	0,00005
mRpL20	57,5529	105,8	0.878377	0,00055
CG5056	17,0308	31,2992	0.877981	0,0009
CG5941	32,8518	60,3369	0.877068	0,0006
CG6015	22,3614	41,0637	0.876856	0,00005
CG13364	606,173	1112,15	0.875551	0,00215
Vti1	12,0596	22,1223	0.875316	0,00635
CG12056	20,0252	36,6962	0.873811	0,00205
CG34455	24,9799	45,7094	0.871721	0,00015
ATPsyn-Cf6	1178,01	2154,93	0.871289	0,00005
CG31676	64,573	118,107	0.871093	0,0001
Tim9a	52,1183	95,2254	0.869556	0,0017
CG15514	28,443	51,9016	0.867708	0,00005
CG4679	9,12217	16,6394	0.867156	0,00125
CG33051	26,4646	48,2694	0.867044	0,00305
dj-1beta	73,8748	134,586	0.865377	0,0003
Sirt4	31,2578	56,9312	0.865004	0,0001
CG18476	14,152	25,7385	0.862919	0,00065
CG10375	82,3268	149,567	0.861353	0,00025
Eip71CD	81,6716	148,341	0.861011	0,00005
Scox	26,1115	47,3561	0.858864	0,0006
Srp19	54,5628	98,8595	0.857462	0,00045
CG6607	36,7066	66,4857	0.857005	0,00035
CG4692	1316,61	2382,75	0.855805	0,00005
mRpS35	32,5949	58,8355	0.852042	0,00015
pont	11,4306	20,614	0.850728	0,00185
CG10435	29,9955	54,0516	0.849592	0,00015
CG7265	17,2666	31,0927	0.848593	0,00065
CG2921	22,2736	40,1032	0.848382	0,00025
l(2)06225	1162,29	2087,21	0.844609	0,00005
CG6020	292,655	524,489	0.841713	0,00005
CG9590	19,5513	34,9911	0.839722	0,0002
CG7275	9,86266	17,647	0.839375	0,00565
SH3PX1	17,4288	31,1603	0.838233	0,0003
mRpL49	75,1528	134,308	0.837644	0,0003
CG2889	19,3345	34,5461	0.837349	0,0037
CG6418	9,90507	17,6936	0.836989	0,00045
CG12096	9,77743	17,445	0.835286	0,0021
Cbp20	51,1545	91,2652	0.835202	0,00115
CG14721	23,2524	41,4208	0.832978	0,00175
Bap60	24,6794	43,9048	0.831072	0,0001
ATPsyn-d	885,176	1573,08	0.829556	0,0002
CG9231	30,3184	53,8726	0.829359	0,0006
CG6834	10,6574	18,933	0.829043	0,0002
CG6180	110,924	196,836	0.827422	0,0001
Dpit47	28,0324	49,725	0.826876	0,00025
asrij	15,4934	27,4589	0.825625	0,0077
mRpL21	21,4018	37,9263	0.825466	0,00875
CG4849	4,4772	7,92811	0.824379	0,0052
CG5548	300,296	531,662	0.824126	0,00015
elm	82,345	145,761	0.823851	0,0001
rept	6,56766	11,6169	0.822769	0,0129
CG9951	24,5047	43,257	0.819872	0,00015
ns4	12,8473	22,6744	0.8196	0,00835
noi	14,7593	26,0331	0.818723	0,0014
CG5721	18,0431	31,7977	0.817474	0,0013
beg	14,0008	24,6614	0.816743	0,00525
CG5384	27,713	48,7886	0.815982	0,0001
CG7849	14,6673	25,8208	0.815937	0,00775
crn	11,8264	20,8005	0.814609	0,00075
CG5835	27,2308	47,8857	0.814355	0,0005
Vps45	7,14898	12,5691	0.814069	0,00625
ade3	24,7163	43,4522	0.813969	0,0004
Iap2	71,5767	125,831	0.813928	0,0001
pfk	12,2764	21,5666	0.812915	0,0018
CG8187	17,0435	29,9388	0.812795	0,0064
HdacX	16,4843	28,9295	0.81145	0,0028
scramb1	30,4682	53,4304	0.81036	0,0002
Sptr	13,9951	24,5367	0.810019	0,00405
alien	29,0418	50,8721	0.80874	0,00035
sun	397,307	695,714	0.808239	0,00005
CG18766	35,3357	61,8428	0.80748	0,00015
pnut	33,8644	59,2617	0.807329	0,00005
CG3678	12,1808	21,3147	0.807242	0,01205
CG18048	10,119	17,7007	0.806742	0,00855
CG7148	20,0433	35,0321	0.805556	0,0005
